Period,Sub_Period,ETS_MNM_Forecast,ETS_MNM_Forecast_high_95,ETS_MNM_Forecast_high_80,ETS_MNM_Forecast_low_80,ETS_MNM_Forecast_low_95
4,11,252865.707289853,279991.535577184,270602.333055699,235129.081524007,225739.879002521
4,12,247415.747855674,279789.434715374,268583.763903293,226247.731808055,215042.060995974
5,1,291435.28261941,335385.599998372,320172.850496918,262697.714741901,247484.965240447
5,2,273469.621916937,319533.088992159,303588.904113092,243350.339720782,227406.154841715
5,3,311018.648634917,368376.329689803,348522.820411393,273514.47685844,253660.96758003
5,4,311814.333709328,373908.81790313,352415.734580949,271212.932837706,249719.849515525
5,5,313432.264376819,380150.538315305,357056.998857012,269807.529896626,246713.990438332
5,6,274689.322350192,336706.775082918,315240.355056727,234138.289643656,212671.869617465
5,7,243790.423343193,301812.729725554,281729.170262705,205851.676423681,185768.116960832
5,8,238101.305079704,297542.52492256,276967.829642588,199234.780516821,178660.085236849
5,9,250945.410739545,316389.223345021,293736.819745684,208154.001733405,185501.598134068
5,10,255140.801017451,324408.886040805,300432.767351612,209848.83468329,185872.715994097
