Period,Sub_Period,ETS_MNM_Forecast,ETS_MNM_Forecast_high_95,ETS_MNM_Forecast_high_80,ETS_MNM_Forecast_low_80,ETS_MNM_Forecast_low_95
4,11,267834.63907881,292816.367509391,284169.313303823,251499.964853797,242852.910648229
4,12,256545.725206909,285127.746865464,275234.50463953,237856.945774288,227963.703548355
5,1,298128.750419454,335990.594275558,322885.27944291,273372.221395998,260266.906563351
5,2,289640.967853419,330446.747217956,316322.432839707,262959.502867132,248835.188488883
5,3,325652.262121368,375649.827413717,358343.91287579,292960.611366945,275654.696829018
5,4,331305.929167199,386045.18526887,367098.004892665,295513.853441732,276566.673065527
5,5,333916.244544763,392735.799421532,372376.284235058,295456.204854467,275096.689667993
5,6,299443.473336524,355274.341864441,335949.31606223,262937.630610819,243612.604808607
5,7,264922.022341896,316904.049901134,298911.243227686,230932.801456106,212939.994782658
5,8,259769.078009958,313159.148634125,294678.968769504,224859.187250412,206379.007385792
5,9,267953.602745376,325415.171885212,305525.7032894,230381.502201352,210492.033605541
5,10,261570.373201012,319904.436345296,299712.966910293,223427.779491731,203236.310056728
